rpm,hp,torque
7150,5.15,5.1
7160,5.16,5.1
7170,5.17,5.1
7180,5.18,5.1
7190,5.19,5.1
7200,5.2,5.1
7210,5.2,5.1
7220,5.2,5.1
7230,5.2,5.1
7240,5.2,5.1
7250,5.2,5.1
7260,5.2,5.1
7270,5.2,5.1
7280,5.2,5.1
7290,5.2,5.1
7300,5.2,5.1
7310,5.22,5.11
7320,5.24,5.12
7330,5.26,5.13
7340,5.28,5.14
7350,5.3,5.15
7360,5.32,5.16
7370,5.34,5.17
7380,5.36,5.18
7390,5.38,5.19
7400,5.4,5.2
7410,5.41,5.2
7420,5.42,5.2
7430,5.43,5.2
7440,5.44,5.2
7450,5.45,5.2
7460,5.46,5.2
7470,5.47,5.2
7480,5.48,5.2
7490,5.49,5.2
7500,5.5,5.2
7510,5.5,5.2
7520,5.5,5.2
7530,5.5,5.2
7540,5.5,5.2
7550,5.5,5.2
7560,5.5,5.2
7570,5.5,5.2
7580,5.5,5.2
7590,5.5,5.2
7600,5.5,5.2
7610,5.51,5.2
7620,5.52,5.2
7630,5.53,5.2
7640,5.54,5.2
7650,5.55,5.2
7660,5.56,5.2
7670,5.57,5.2
7680,5.58,5.2
7690,5.59,5.2
7700,5.6,5.2
7710,5.61,5.2
7720,5.62,5.2
7730,5.63,5.2
7740,5.64,5.2
7750,5.65,5.2
7760,5.66,5.2
7770,5.67,5.2
7780,5.68,5.2
7790,5.69,5.2
7800,5.7,5.2
7810,5.71,5.2
7820,5.72,5.2
7830,5.73,5.2
7840,5.74,5.2
7850,5.75,5.2
7860,5.76,5.2
7870,5.77,5.2
7880,5.78,5.2
7890,5.79,5.2
7900,5.8,5.2
7910,5.8,5.2
7920,5.8,5.2
7930,5.8,5.2
7940,5.8,5.2
7950,5.8,5.2
7960,5.8,5.2
7970,5.8,5.2
7980,5.8,5.2
7990,5.8,5.2
8000,5.8,5.2
8010,5.81,5.2
8020,5.82,5.2
8030,5.83,5.2
8040,5.84,5.2
8050,5.85,5.2
8060,5.86,5.2
8070,5.87,5.2
8080,5.88,5.2
8090,5.89,5.2
8100,5.9,5.2
8110,5.91,5.2
8120,5.92,5.2
8130,5.93,5.2
8140,5.94,5.2
8150,5.95,5.2
8160,5.96,5.2
8170,5.97,5.2
8180,5.98,5.2
8190,5.99,5.2
8200,6,5.2
8210,6.01,5.2
8220,6.02,5.2
8230,6.03,5.2
8240,6.04,5.2
8250,6.05,5.2
8260,6.06,5.2
8270,6.07,5.2
8280,6.08,5.2
8290,6.09,5.2
8300,6.1,5.2
8310,6.1,5.2
8320,6.1,5.2
8330,6.1,5.2
8340,6.1,5.2
8350,6.1,5.2
8360,6.1,5.2
8370,6.1,5.2
8380,6.1,5.2
8390,6.1,5.2
8400,6.1,5.2
8410,6.11,5.2
8420,6.12,5.2
8430,6.13,5.2
8440,6.14,5.2
8450,6.15,5.2
8460,6.16,5.2
8470,6.17,5.2
8480,6.18,5.2
8490,6.19,5.2
8500,6.2,5.2
8510,6.2,5.19
8520,6.2,5.18
8530,6.2,5.17
8540,6.2,5.16
8550,6.2,5.15
8560,6.2,5.14
8570,6.2,5.13
8580,6.2,5.12
8590,6.2,5.11
8600,6.2,5.1
8610,6.2,5.1
8620,6.2,5.1
8630,6.2,5.1
8640,6.2,5.1
8650,6.2,5.1
8660,6.2,5.1
8670,6.2,5.1
8680,6.2,5.1
8690,6.2,5.1
8700,6.2,5.1
8710,6.21,5.1
8720,6.22,5.1
8730,6.23,5.1
8740,6.24,5.1
8750,6.25,5.1
8760,6.26,5.1
8770,6.27,5.1
8780,6.28,5.1
8790,6.29,5.1
8800,6.3,5.1
8810,6.31,5.1
8820,6.32,5.1
8830,6.33,5.1
8840,6.34,5.1
8850,6.35,5.1
8860,6.36,5.1
8870,6.37,5.1
8880,6.38,5.1
8890,6.39,5.1
8900,6.4,5.1
8910,6.39,5.09
8920,6.38,5.08
8930,6.37,5.07
8940,6.36,5.06
8950,6.35,5.05
8960,6.34,5.04
8970,6.33,5.03
8980,6.32,5.02
8990,6.31,5.01
9000,6.3,5
9010,6.31,5
9020,6.32,5
9030,6.33,5
9040,6.34,5
9050,6.35,5
9060,6.36,5
9070,6.37,5
9080,6.38,5
9090,6.39,5
9100,6.4,5
9110,6.41,5
9120,6.42,5
9130,6.43,5
9140,6.44,5
9150,6.45,5
9160,6.46,5
9170,6.47,5
9180,6.48,5
9190,6.49,5
9200,6.5,5
9210,6.49,4.99
9220,6.48,4.98
9230,6.47,4.97
9240,6.46,4.96
9250,6.45,4.95
9260,6.44,4.94
9270,6.43,4.93
9280,6.42,4.92
9290,6.41,4.91
9300,6.4,4.9
9310,6.41,4.9
9320,6.42,4.9
9330,6.43,4.9
9340,6.44,4.9
9350,6.45,4.9
9360,6.46,4.9
9370,6.47,4.9
9380,6.48,4.9
9390,6.49,4.9
9400,6.5,4.9
9410,6.49,4.89
9420,6.48,4.88
9430,6.47,4.87
9440,6.46,4.86
9450,6.45,4.85
9460,6.44,4.84
9470,6.43,4.83
9480,6.42,4.82
9490,6.41,4.81
9500,6.4,4.8
9510,6.41,4.8
9520,6.42,4.8
9530,6.43,4.8
9540,6.44,4.8
9550,6.45,4.8
9560,6.46,4.8
9570,6.47,4.8
9580,6.48,4.8
9590,6.49,4.8
9600,6.5,4.8
9610,6.48,4.78
9620,6.46,4.76
9630,6.44,4.74
9640,6.42,4.72
9650,6.4,4.7
9660,6.38,4.68
9670,6.36,4.66
9680,6.34,4.64
9690,6.32,4.62
9700,6.3,4.6
9710,6.29,4.59
9720,6.28,4.58
9730,6.27,4.57
9740,6.26,4.56
9750,6.25,4.55
9760,6.24,4.54
9770,6.23,4.53
9780,6.22,4.52
9790,6.21,4.51
9800,6.2,4.5
9810,6.18,4.48
9820,6.16,4.46
9830,6.14,4.44
9840,6.12,4.42
9850,6.1,4.4
9860,6.08,4.38
9870,6.06,4.36
9880,6.04,4.34
9890,6.02,4.32
9900,6,4.3
9910,5.98,4.28
9920,5.96,4.26
9930,5.94,4.24
9940,5.92,4.22
9950,5.9,4.2
9960,5.88,4.18
9970,5.86,4.16
9980,5.84,4.14
9990,5.82,4.12
10000,5.8,4.1
