Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
        0.223, -0.00517557468265, -0.218726918101, 1.08679032326,  24.757604599, -113.514610291, 927.837402344, -5.73781681061, 0.0761386230588
        0.224, -0.00692841364071, -0.228750884533, 1.06927490234, -2.06953978539, -106.052154541, 1021.95849609, -6.24730920792, 0.0342270843685
        0.225, -0.00605120370165, -0.0634714961052, 1.05035197735,             0,             0,             0,             0,             0
        0.226, -0.00625575426966, -0.084397919476, 1.02825677395,             0,             0,             0,             0,             0
        0.227, -0.00643304176629, -0.104986198246, 1.00458824635,             0,             0,             0,             0,             0
        0.228, -0.00658365618438, -0.125272959471, 0.979413866997,             0,             0,             0,             0,             0
        0.229, -0.00670887995511, -0.145342335105, 0.95287913084,             0,             0,             0,             0,             0
         0.23, -0.00680999364704, -0.16527248919, 0.925117135048,             0,             0,             0,             0,             0
        0.231, -0.00688827736303, -0.185122683644, 0.896250844002,             0,             0,             0,             0,             0
        0.232, -0.00694499630481, -0.20493221283, 0.866394340992,             0,             0,             0,             0,             0
        0.233, -0.0069814058952, -0.224727764726, 0.835653543472,             0,             0,             0,             0,             0
        0.234, -0.0069987475872, -0.244525745511, 0.804127573967,             0,             0,             0,             0,             0
        0.235, -0.00699824048206, -0.264333933592, 0.771909117699,             0,             0,             0,             0,             0
        0.236, -0.00698107481003, -0.284153014421, 0.739085376263,             0,             0,             0,             0,             0
        0.237, -0.00694840401411, -0.303977549076, 0.705738425255,             0,             0,             0,             0,             0
        0.238, -0.00690133683383, -0.323797076941, 0.671945810318,             0,             0,             0,             0,             0
        0.239, -0.00684093218297, -0.343593388796, 0.637780725956,             0,             0,             0,             0,             0
         0.24, -0.00676819169894, -0.363338649273, 0.603312194347,             0,             0,             0,             0,             0
        0.241, -0.00668405927718, -0.383009701967, 0.568605661392,             0,             0,             0,             0,             0
        0.242, -0.00658941501752, -0.402581453323, 0.533722817898,             0,             0,             0,             0,             0
        0.243, -0.00648507382721, -0.422026872635, 0.498722195625,             0,             0,             0,             0,             0
        0.244, -0.00637178355828, -0.441317439079, 0.463658928871,             0,             0,             0,             0,             0
        0.245, -0.00827375240624, -0.458060324192, 0.428585231304, -0.211899489164, -45.1447029114, 132.807861328, -0.203558117151, 0.00810510106385
        0.246, -0.0130790090188, -0.468753665686, 0.391903877258, -29.7009239197, -37.307308197,  482.57510376, -1.01524424553, 0.0156914405525
        0.247, -0.0155630465597, -0.477290481329, 0.357213109732, -68.4426193237, -28.3691501617,  800.79888916, -1.62781333923, -0.0240113493055
        0.248, -0.0166401732713, -0.482874333858, 0.323664844036, -110.338882446, -20.2596759796, 1119.95178223, -2.09742903709, -0.0965012982488
        0.249, -0.0169120356441, -0.485111027956, 0.290754705667, -153.543502808, -12.2677211761, 1438.25305176, -2.44152832031, -0.201678082347
         0.25, -0.0166498050094, -0.48347812891, 0.25873580575, -196.37411499, -4.19399023056, 1753.99475098, -2.67038941383, -0.339552819729
