time,latitude,longitude,throttle,gear,speed_kmh,rpm
90.5,33.622653117,72.955963858,0.0,1,0.0,1500
90.6,33.622653117,72.955963858,0.0,1,0.0,1500
90.7,33.622653117,72.955963858,0.0,1,0.0,1500
90.8,33.622653117,72.955963858,0.0,1,0.0,1500
90.9,33.622653117,72.955963858,0.0,1,0.0,1500
91.0,33.622653117,72.955963858,0.0,1,0.0,1500
91.1,33.622653117,72.955963858,0.0,1,0.0,1500
91.2,33.622653117,72.955963858,0.0,1,0.0,1500
91.3,33.622653117,72.955963858,0.0,1,0.0,1500
91.4,33.622653117,72.955963858,0.0,1,0.0,1500
91.5,33.622653117,72.955963858,0.0,1,0.0,1500
91.6,33.622653117,72.955963858,0.0,1,0.0,1500
91.7,33.622653117,72.955963858,0.0,1,0.0,1500
91.8,33.622653117,72.955963858,0.0,1,0.0,1500
91.9,33.622653117,72.955963858,0.0,1,0.0,1500
92.0,33.622653117,72.955963858,0.0,1,0.0,1500
92.1,33.622653117,72.955963858,0.0,1,0.0,1500
92.2,33.622653117,72.955963858,0.0,1,0.0,1500
92.3,33.622653117,72.955963858,0.0,1,0.0,1500
92.4,33.622653117,72.955963858,0.0,1,0.0,1500
92.5,33.622653117,72.955963858,0.0,1,0.0,1500
92.6,33.622653117,72.955963858,0.0,1,0.0,1500
92.7,33.622653117,72.955963858,0.0,1,0.0,1500
92.8,33.622653117,72.955963858,0.0,1,0.0,1500
92.9,33.622653117,72.955963858,0.0,1,0.0,1500
93.0,33.622653117,72.955963858,0.0,1,0.0,1500
93.1,33.622653117,72.955963858,0.0,1,0.0,1500
93.2,33.622653117,72.955963858,0.0,1,0.0,1500
93.3,33.622653117,72.955963858,0.0,1,0.0,1500
93.4,33.622653117,72.955963858,0.0,1,0.0,1500
93.5,33.622653117,72.955963858,0.0,1,0.0,1500
93.6,33.622653117,72.955963858,0.0,1,0.0,1500
93.7,33.622653117,72.955963858,0.0,1,0.0,1500
93.8,33.622653117,72.955963858,0.0,1,0.0,1500
93.9,33.622653117,72.955963858,0.0,1,0.0,1500
94.0,33.622653117,72.955963858,0.0,1,0.0,1500
94.1,33.622653117,72.955963858,0.0,1,0.0,1500
94.2,33.622653117,72.955963858,0.0,1,0.0,1500
94.3,33.622653117,72.955963858,0.0,1,0.0,1500
94.4,33.622653117,72.955963858,0.0,1,0.0,1500
94.5,33.622653117,72.955963858,0.0,1,0.0,1500
94.6,33.622653117,72.955963858,0.0,1,0.0,1500
94.7,33.622653117,72.955963858,0.0,1,0.0,1500
94.8,33.622653117,72.955963858,0.0,1,0.0,1500
94.9,33.622653117,72.955963858,0.0,1,0.0,1500
95.0,33.622653117,72.955963858,0.0,1,0.0,1500
95.1,33.622653117,72.955963858,0.0,1,0.0,1500
95.2,33.622653117,72.955963858,0.0,1,0.0,1500
95.3,33.622653117,72.955963858,0.0,1,0.0,1500
95.4,33.622653117,72.955963858,0.0,1,0.0,1500
95.5,33.622653117,72.955963858,0.0,1,0.0,1500
95.6,33.622653117,72.955963858,0.0,1,0.0,1500
95.7,33.622653117,72.955963858,0.0,1,0.0,1500
95.8,33.622653117,72.955963858,0.0,1,0.0,1500
95.9,33.622653117,72.955963858,0.0,1,0.0,1500
96.0,33.622653117,72.955963858,0.0,1,0.0,1500
96.1,33.622653117,72.955963858,0.0,1,0.0,1500
96.2,33.622653117,72.955963858,0.0,1,0.0,1500
96.3,33.622653117,72.955963858,0.0,1,0.0,1500
96.4,33.622653117,72.955963858,0.0,1,0.0,1500
96.5,33.622653117,72.955963858,0.0,1,0.0,1500
96.6,33.622653117,72.955963858,0.0,1,0.0,1500
96.7,33.622653117,72.955963858,0.0,1,0.0,1500
96.8,33.622653117,72.955963858,0.0,1,0.0,1500
96.9,33.622653117,72.955963858,0.0,1,0.0,1500
97.0,33.622653117,72.955963858,0.0,1,0.0,1500
97.1,33.622653117,72.955963858,0.0,1,0.0,1500
97.2,33.622653117,72.955963858,0.0,1,0.0,1500
97.3,33.622653117,72.955963858,0.0,1,0.0,1500
97.4,33.622653117,72.955963858,0.0,1,0.0,1500
97.5,33.622653117,72.955963858,0.0,1,0.0,1500
97.6,33.622653117,72.955963858,0.0,1,0.0,1500
97.7,33.622653117,72.955963858,0.0,1,0.0,1500
97.8,33.622653117,72.955963858,0.0,1,0.0,1500
97.9,33.622653117,72.955963858,0.0,1,0.0,1500
98.0,33.622653117,72.955963858,0.0,1,0.0,1500
98.1,33.622653117,72.955963858,0.0,1,0.0,1500
98.2,33.622653117,72.955963858,0.0,1,0.0,1500
98.3,33.622653117,72.955963858,0.0,1,0.0,1500
98.4,33.622653117,72.955963858,0.0,1,0.0,1500
98.5,33.622653117,72.955963858,0.0,1,0.0,1500
98.6,33.622653117,72.955963858,0.0,1,0.0,1500
98.7,33.622653117,72.955963858,0.0,1,0.0,1500
98.8,33.622653117,72.955963858,0.0,1,0.0,1500
98.9,33.622653117,72.955963858,0.0,1,0.0,1500
99.0,33.622653117,72.955963858,0.0,1,0.0,1500
99.1,33.622653117,72.955963858,0.0,1,0.0,1500
99.2,33.622653117,72.955963858,0.0,1,0.0,1500
99.3,33.622653117,72.955963858,0.0,1,0.0,1500
99.4,33.622653117,72.955963858,0.0,1,0.0,1500
99.5,33.622653117,72.955963858,0.0,1,0.0,1500
99.6,33.622653117,72.955963858,0.0,1,0.0,1500
99.7,33.622653117,72.955963858,0.0,1,0.0,1500
99.8,33.622653117,72.955963858,0.0,1,0.0,1500
99.9,33.622653117,72.955963858,0.0,1,0.0,1500
100.0,33.622653117,72.955963858,0.0,1,0.0,1500
100.1,33.622653117,72.955963858,0.0,1,0.0,1500
100.2,33.622653117,72.955963858,0.0,1,0.0,1500
100.3,33.622653117,72.955963858,0.0,1,0.0,1500
100.4,33.622653117,72.955963858,0.0,1,0.0,1500
100.5,33.622653117,72.955963858,0.0,1,0.0,1500
100.6,33.622653117,72.955963858,0.0,1,0.0,1500
100.7,33.622653117,72.955963858,0.0,1,0.0,1500
