Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
        0.093, 0.000867515278514, 0.189507514238, 0.171830654144, -104.384407043, -211.356948853,    4703.28125, -5.19055366516, 4.97252130508
        0.094, 0.000867584662046, 0.189547285438, 0.171305298805, -104.079101562, -211.330322266, 4701.58349609, -4.9991350174, 4.92013502121
        0.095, 0.000852638506331, 0.189585581422,  0.1707790941, -104.012359619, -211.306854248, 4699.11328125, -4.80151987076,  4.8694524765
        0.096, 0.000823631999083, 0.189619064331, 0.170251429081, -104.37752533, -211.301528931, 4696.98828125, -4.62138271332, 4.83579111099
        0.097, 0.000782311195508, 0.189646810293, 0.16972206533,   -104.703125, -211.223190308, 4694.95800781, -4.45987844467, 4.82300519943
        0.098, 0.000731042586267, 0.189676403999, 0.169190883636, -104.949531555, -211.065841675, 4694.04541016, -4.33888626099, 4.81727075577
        0.099, 0.000673109607305, 0.189711645246, 0.168658509851, -105.164077759, -210.936004639, 4693.94091797, -4.29816818237, 4.82666730881
          0.1, 0.000612235977314, 0.189759910107, 0.16812556982, -105.491821289, -210.726516724, 4694.53857422, -4.34522390366, 4.85195112228
        0.101, 0.000552074459847, 0.189816623926, 0.167592808604, -105.988609314, -210.381713867, 4695.74804688, -4.40892696381, 4.90094137192
        0.102, 0.000493739789817, 0.189882382751, 0.167060926557, -106.285102844, -209.898956299, 4696.62011719, -4.48507595062, 4.94938755035
        0.103, 0.000437098904513, 0.189960822463, 0.166530638933, -106.684181213, -209.316619873, 4697.56494141, -4.57518577576, 4.98337554932
        0.104, 0.000382049824111, 0.190050587058, 0.166002780199, -107.307067871, -208.792098999, 4697.75878906, -4.71073007584, 5.00403118134
        0.105, 0.000329033733578, 0.190148770809, 0.16547742486, -108.62991333, -208.321578979, 4697.67529297, -4.88141870499, 5.02232074738
        0.106, 0.000278510793578, 0.190235003829, 0.164954155684, -110.452552795, -207.806945801, 4697.22070312, -5.04465293884, 5.04570674896
        0.107, 0.000229238357861, 0.190306186676, 0.164432153106,  -112.4425354, -207.283309937, 4696.31591797, -5.15552854538, 5.04128074646
        0.108, 0.000180362709216, 0.190369457006, 0.163911029696, -114.739845276, -206.797637939, 4695.78613281, -5.21644926071, 5.00364351273
        0.109, 0.000131739448989, 0.190440535545, 0.163391157985, -117.126602173, -206.485656738, 4695.28369141, -5.25790691376, 4.94207954407
         0.11, 8.50723808981e-05, 0.190530046821, 0.162872955203, -119.927482605, -206.389251709, 4695.83886719, -5.30297851562, 4.88065195084
        0.111, 4.27747727372e-05, 0.190629646182, 0.162356927991, -122.734550476, -206.350830078, 4696.95263672, -5.31406784058, 4.84779787064
        0.112, 5.85131283515e-06, 0.19073228538, 0.161843210459, -125.147842407, -206.285491943, 4698.62060547, -5.24028730392, 4.83168697357
        0.113, -2.58109703282e-05, 0.190835267305, 0.16133223474, -127.104888916, -206.210449219, 4700.55615234, -5.09758090973, 4.80318403244
        0.114, -5.17739317729e-05, 0.190945655107, 0.160824626684, -128.786987305, -206.276428223, 4702.05810547, -4.94242095947, 4.77359867096
        0.115, -7.07510916982e-05, 0.191064342856, 0.160320937634, -130.658905029, -206.44631958, 4703.59277344, -4.81607723236, 4.76032829285
        0.116, -8.21380453999e-05, 0.191184863448, 0.159821510315, -132.544448853, -206.593643188, 4704.43554688, -4.67797994614, 4.75866413116
